com.samsung.shealth.tracker.pedometer_day_summary,6190043,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6835,eb998fa8-1ee4-40ab-8323-bd49b5eb94a6.binning_data.json,3368036,10000,35,22:27.2,com.sec.android.app.shealth,02:39.9,eb998fa8-1ee4-40ab-8323-bd49b5eb94a6.source_info.json,1.450863,4886.5605,221.32993,6800,VfS0qUERdZ,com.sec.android.app.shealth,0,eb998fa8-1ee4-40ab-8323-bd49b5eb94a6.achievement.json,eb998fa8-1ee4-40ab-8323-bd49b5eb94a6,1.62302E+12
6072,384f6db8-aa29-4370-8ecb-7169ba9fc6e6.binning_data.json,3014779,10000,59,15:28.7,com.sec.android.app.shealth,55:52.9,384f6db8-aa29-4370-8ecb-7169ba9fc6e6.source_info.json,1.4375381,4333.8604,200.06996,6013,VfS0qUERdZ,com.sec.android.app.shealth,0,384f6db8-aa29-4370-8ecb-7169ba9fc6e6.achievement.json,384f6db8-aa29-4370-8ecb-7169ba9fc6e6,1.62285E+12
2495,b14701a5-43d6-4c0c-9df9-20f24a100925.binning_data.json,1241177,10000,136,00:00.8,com.sec.android.app.shealth,00:00.8,,1.4818507,1839.2401,88.05999,2359,EIy+BrLOSY,com.sec.android.app.shealth,0,b14701a5-43d6-4c0c-9df9-20f24a100925.achievement.json,b14701a5-43d6-4c0c-9df9-20f24a100925,1.62328E+12
1445,72ffefe8-2dd0-4c78-9c21-f8c92ae06340.binning_data.json,700692,10000,101,00:01.3,com.sec.android.app.shealth,00:01.3,,1.5649811,1096.57,51.73,1344,EIy+BrLOSY,com.sec.android.app.shealth,0,72ffefe8-2dd0-4c78-9c21-f8c92ae06340.achievement.json,72ffefe8-2dd0-4c78-9c21-f8c92ae06340,1.6232E+12
3009,a676465b-8fa0-4a6c-b701-a27dc1b32624.binning_data.json,1569173,10000,6,00:01.7,com.sec.android.app.shealth,00:01.7,,1.3677387,2146.22,98.97999,3003,EIy+BrLOSY,com.sec.android.app.shealth,0,a676465b-8fa0-4a6c-b701-a27dc1b32624.achievement.json,a676465b-8fa0-4a6c-b701-a27dc1b32624,1.62311E+12
1552,44d5b462-ff93-4d1e-b372-2331d21844c9.binning_data.json,781938,10000,1,00:01.4,com.sec.android.app.shealth,00:01.4,,1.4162111,1107.39,52.73,1551,EIy+BrLOSY,com.sec.android.app.shealth,0,44d5b462-ff93-4d1e-b372-2331d21844c9.achievement.json,44d5b462-ff93-4d1e-b372-2331d21844c9,1.62354E+12
3009,fd37eaa0-fdc1-4d24-8812-62fa2f5d69a8.binning_data.json,1569173,10000,6,29:00.7,com.sec.android.app.shealth,24:48.5,fd37eaa0-fdc1-4d24-8812-62fa2f5d69a8.source_info.json,1.3677387,2146.22,98.97999,3003,VfS0qUERdZ,com.sec.android.app.shealth,0,fd37eaa0-fdc1-4d24-8812-62fa2f5d69a8.achievement.json,fd37eaa0-fdc1-4d24-8812-62fa2f5d69a8,1.62311E+12
1618,5eed886f-41cd-4ee3-b51c-90c4e191c7de.binning_data.json,901782,10000,0,00:01.4,com.sec.android.app.shealth,00:01.4,,1.2666905,1142.28,53.789997,1618,EIy+BrLOSY,com.sec.android.app.shealth,0,5eed886f-41cd-4ee3-b51c-90c4e191c7de.achievement.json,5eed886f-41cd-4ee3-b51c-90c4e191c7de,1.62346E+12
3980,87cd3ece-2793-4ad1-8357-9c20c0106e73.binning_data.json,2016494,10000,79,00:00.6,com.sec.android.app.shealth,00:00.6,,1.4320444,2887.7102,132.44997,3901,EIy+BrLOSY,com.sec.android.app.shealth,0,87cd3ece-2793-4ad1-8357-9c20c0106e73.achievement.json,87cd3ece-2793-4ad1-8357-9c20c0106e73,1.62337E+12
2063,eaa75249-4da7-42c5-b05e-8a1bbab013a5.binning_data.json,995152,10000,0,48:28.6,com.sec.android.app.shealth,59:43.2,eaa75249-4da7-42c5-b05e-8a1bbab013a5.source_info.json,1.4622879,1455.2001,67.939964,2063,VfS0qUERdZ,com.sec.android.app.shealth,0,eaa75249-4da7-42c5-b05e-8a1bbab013a5.achievement.json,eaa75249-4da7-42c5-b05e-8a1bbab013a5,1.62294E+12
4654,72a21547-4906-486d-ae98-cda05040af6d.binning_data.json,2322759,10000,71,58:32.1,com.sec.android.app.shealth,58:32.1,,1.4575078,3385.44,154.95,4583,EIy+BrLOSY,com.sec.android.app.shealth,0,72a21547-4906-486d-ae98-cda05040af6d.achievement.json,72a21547-4906-486d-ae98-cda05040af6d,1.6238E+12
2495,e051a560-3408-4ec7-b3a4-8eb36883d67f.binning_data.json,1241177,10000,136,51:21.2,com.sec.android.app.shealth,33:18.6,e051a560-3408-4ec7-b3a4-8eb36883d67f.source_info.json,1.4818507,1839.2401,88.05999,2359,VfS0qUERdZ,com.sec.android.app.shealth,0,e051a560-3408-4ec7-b3a4-8eb36883d67f.achievement.json,e051a560-3408-4ec7-b3a4-8eb36883d67f,1.62328E+12
4536,4dd55c46-bf68-4d34-9ac5-b6ec36104c00.binning_data.json,2260086,10000,9,00:01.2,com.sec.android.app.shealth,00:01.2,,1.4489796,3274.82,144.56998,4527,EIy+BrLOSY,com.sec.android.app.shealth,0,4dd55c46-bf68-4d34-9ac5-b6ec36104c00.achievement.json,4dd55c46-bf68-4d34-9ac5-b6ec36104c00,1.62372E+12
1431,a7cef85f-e388-4303-862f-18dd28b1636e.binning_data.json,817309,10000,0,00:01.1,com.sec.android.app.shealth,00:01.1,,1.254237,1025.1,46.739998,1431,EIy+BrLOSY,com.sec.android.app.shealth,0,a7cef85f-e388-4303-862f-18dd28b1636e.achievement.json,a7cef85f-e388-4303-862f-18dd28b1636e,1.62363E+12
